polarity	predict	P(s=-1)	P(s=1)
-1	-1	0.72655	0.27345
1	-1	0.62612	0.37388
-1	1	0.43470	0.56530
1	1	0.34939	0.65061
1	1	0.37931	0.62069
-1	-1	0.72221	0.27779
1	1	0.17298	0.82702
1	1	0.24025	0.75975
1	1	0.37375	0.62625
-1	-1	0.68124	0.31876
1	1	0.21332	0.78668
1	1	0.27683	0.72317
1	1	0.32710	0.67290
-1	-1	0.63765	0.36235
-1	-1	0.65301	0.34699
1	1	0.26308	0.73692
-1	-1	0.65772	0.34228
1	1	0.24650	0.75350
-1	-1	0.77200	0.22800
-1	-1	0.64904	0.35096
-1	-1	0.77957	0.22043
1	1	0.26437	0.73563
1	1	0.37913	0.62087
1	1	0.19166	0.80834
1	1	0.24223	0.75777
-1	-1	0.73531	0.26469
-1	-1	0.66793	0.33207
1	1	0.32975	0.67025
-1	-1	0.68435	0.31565
1	1	0.29680	0.70320
-1	-1	0.80690	0.19310
1	1	0.21317	0.78683
-1	1	0.47443	0.52557
-1	-1	0.71340	0.28660
1	1	0.23646	0.76354
-1	-1	0.71709	0.28291
-1	1	0.45825	0.54175
1	1	0.32726	0.67274
1	1	0.15541	0.84459
-1	1	0.40983	0.59017
1	1	0.41263	0.58737
-1	-1	0.64214	0.35786
1	1	0.26740	0.73260
1	1	0.24357	0.75643
1	1	0.25291	0.74709
-1	-1	0.69277	0.30723
1	1	0.46455	0.53545
-1	-1	0.62706	0.37294
-1	-1	0.66799	0.33201
1	1	0.15864	0.84136
1	-1	0.51569	0.48431
-1	-1	0.62425	0.37575
-1	-1	0.68432	0.31568
1	1	0.37765	0.62235
1	1	0.46398	0.53602
1	1	0.13782	0.86218
1	1	0.13811	0.86189
1	1	0.22664	0.77336
1	-1	0.53199	0.46801
1	1	0.48768	0.51232
1	1	0.33803	0.66197
1	1	0.46537	0.53463
-1	-1	0.59317	0.40683
-1	-1	0.50704	0.49296
1	1	0.17319	0.82681
-1	-1	0.74279	0.25721
1	1	0.46869	0.53131
1	1	0.31461	0.68539
-1	-1	0.77177	0.22823
1	1	0.27448	0.72552
1	1	0.28623	0.71377
-1	-1	0.62371	0.37629
1	1	0.26117	0.73883
1	1	0.25502	0.74498
1	1	0.22875	0.77125
1	1	0.31165	0.68835
-1	-1	0.59404	0.40596
1	1	0.25813	0.74187
-1	1	0.47312	0.52688
1	1	0.18396	0.81604
1	1	0.34861	0.65139
1	1	0.25700	0.74300
-1	-1	0.85004	0.14996
-1	-1	0.58188	0.41812
1	1	0.23768	0.76232
1	1	0.21993	0.78007
1	-1	0.61256	0.38744
1	1	0.28866	0.71134
-1	-1	0.65287	0.34713
-1	-1	0.72146	0.27854
-1	-1	0.61351	0.38649
1	1	0.46142	0.53858
1	1	0.24412	0.75588
-1	-1	0.58392	0.41608
1	1	0.48937	0.51063
-1	-1	0.56125	0.43875
-1	-1	0.72788	0.27212
1	1	0.41031	0.58969
1	1	0.24411	0.75589
1	1	0.13571	0.86429
1	1	0.16819	0.83181
1	1	0.24592	0.75408
1	1	0.17358	0.82642
1	1	0.38882	0.61118
1	1	0.42140	0.57860
1	-1	0.51579	0.48421
1	1	0.26242	0.73758
1	1	0.23588	0.76412
-1	-1	0.66825	0.33175
1	1	0.45679	0.54321
-1	-1	0.74271	0.25729
1	1	0.26807	0.73193
-1	-1	0.79352	0.20648
-1	-1	0.64769	0.35231
1	-1	0.51175	0.48825
-1	-1	0.90786	0.09214
-1	-1	0.59987	0.40013
1	1	0.28116	0.71884
1	1	0.28583	0.71417
1	1	0.18516	0.81484
-1	1	0.48208	0.51792
-1	-1	0.70190	0.29810
1	1	0.36473	0.63527
-1	-1	0.85462	0.14538
-1	-1	0.72843	0.27157
1	1	0.21650	0.78350
-1	-1	0.59992	0.40008
1	1	0.20716	0.79284
1	1	0.16457	0.83543
-1	-1	0.63772	0.36228
1	1	0.27846	0.72154
-1	-1	0.67201	0.32799
-1	-1	0.76998	0.23002
-1	-1	0.67074	0.32926
1	1	0.27867	0.72133
-1	-1	0.66104	0.33896
1	1	0.27101	0.72899
1	1	0.29910	0.70090
-1	-1	0.60160	0.39840
1	1	0.38495	0.61505
1	1	0.36271	0.63729
-1	-1	0.71812	0.28188
1	1	0.23720	0.76280
1	1	0.29580	0.70420
1	1	0.31048	0.68952
1	1	0.17806	0.82194
1	1	0.37979	0.62021
-1	-1	0.83788	0.16212
-1	-1	0.61010	0.38990
1	1	0.34909	0.65091
1	-1	0.51947	0.48053
-1	-1	0.79463	0.20537
-1	-1	0.51603	0.48397
-1	-1	0.87091	0.12909
1	-1	0.51630	0.48370
-1	-1	0.75556	0.24444
-1	-1	0.84781	0.15219
1	1	0.48503	0.51497
-1	1	0.38485	0.61515
1	1	0.28648	0.71352
-1	-1	0.73363	0.26637
1	1	0.49671	0.50329
1	-1	0.50352	0.49648
-1	-1	0.76202	0.23798
-1	1	0.31177	0.68823
1	1	0.40474	0.59526
-1	-1	0.64909	0.35091
1	1	0.46383	0.53617
1	1	0.36150	0.63850
1	1	0.41212	0.58788
-1	-1	0.64423	0.35577
1	1	0.25148	0.74852
1	1	0.33229	0.66771
1	1	0.32361	0.67639
-1	-1	0.83241	0.16759
1	1	0.34894	0.65106
1	1	0.26950	0.73050
-1	-1	0.78174	0.21826
-1	-1	0.57648	0.42352
1	1	0.42290	0.57710
-1	-1	0.58427	0.41573
-1	-1	0.71993	0.28007
1	1	0.39445	0.60555
-1	-1	0.65720	0.34280
-1	1	0.45261	0.54739
1	1	0.19894	0.80106
1	1	0.21046	0.78954
1	1	0.32376	0.67624
-1	-1	0.69509	0.30491
1	-1	0.57539	0.42461
1	1	0.23398	0.76602
1	1	0.31059	0.68941
1	1	0.39477	0.60523
-1	-1	0.62958	0.37042
-1	-1	0.69982	0.30018
1	1	0.48526	0.51474
1	1	0.27353	0.72647
1	1	0.42991	0.57009
-1	-1	0.83300	0.16700
-1	-1	0.79942	0.20058
1	1	0.09685	0.90315
1	1	0.28236	0.71764
1	1	0.29353	0.70647
1	-1	0.50302	0.49698
-1	-1	0.54657	0.45343
-1	-1	0.75924	0.24076
1	1	0.24070	0.75930
1	1	0.27976	0.72024
1	1	0.16153	0.83847
-1	-1	0.60101	0.39899
-1	-1	0.62998	0.37002
-1	-1	0.74198	0.25802
-1	-1	0.77493	0.22507
1	1	0.47470	0.52530
-1	-1	0.66900	0.33100
-1	1	0.49115	0.50885
-1	-1	0.70222	0.29778
1	1	0.23516	0.76484
1	1	0.41307	0.58693
1	-1	0.64916	0.35084
-1	-1	0.67910	0.32090
1	1	0.12705	0.87295
1	1	0.32044	0.67956
1	1	0.13257	0.86743
-1	-1	0.65635	0.34365
-1	-1	0.53226	0.46774
1	1	0.22125	0.77875
1	1	0.26247	0.73753
1	1	0.34783	0.65217
-1	-1	0.86048	0.13952
1	1	0.33525	0.66475
1	1	0.19969	0.80031
-1	-1	0.63757	0.36243
-1	1	0.47897	0.52103
-1	-1	0.67685	0.32315
1	1	0.19295	0.80705
1	1	0.12336	0.87664
-1	-1	0.79993	0.20007
1	1	0.31039	0.68961
1	1	0.22509	0.77491
-1	-1	0.80784	0.19216
-1	-1	0.58369	0.41631
-1	-1	0.82774	0.17226
-1	-1	0.53601	0.46399
1	1	0.28996	0.71004
1	1	0.37167	0.62833
1	1	0.30209	0.69791
1	1	0.20425	0.79575
-1	-1	0.79778	0.20222
1	1	0.13456	0.86544
-1	-1	0.72884	0.27116
-1	-1	0.82325	0.17675
-1	-1	0.84999	0.15001
1	-1	0.55223	0.44777
1	1	0.29865	0.70135
1	-1	0.54596	0.45404
-1	-1	0.54977	0.45023
1	1	0.23200	0.76800
-1	-1	0.65388	0.34612
-1	-1	0.73250	0.26750
1	-1	0.55755	0.44245
-1	-1	0.68968	0.31032
1	1	0.29447	0.70553
-1	-1	0.69353	0.30647
1	1	0.29406	0.70594
-1	-1	0.75982	0.24018
1	1	0.44143	0.55857
-1	-1	0.74577	0.25423
-1	-1	0.86046	0.13954
1	1	0.38617	0.61383
-1	-1	0.81195	0.18805
1	1	0.16772	0.83228
1	1	0.39978	0.60022
-1	-1	0.81913	0.18087
-1	-1	0.71725	0.28275
-1	-1	0.76078	0.23922
-1	-1	0.54824	0.45176
1	-1	0.73704	0.26296
-1	-1	0.65966	0.34034
-1	-1	0.60987	0.39013
1	1	0.18286	0.81714
-1	-1	0.72947	0.27053
-1	-1	0.67689	0.32311
1	1	0.22499	0.77501
1	1	0.40864	0.59136
-1	-1	0.65988	0.34012
1	1	0.43896	0.56104
1	1	0.29721	0.70279
1	1	0.35766	0.64234
1	1	0.20598	0.79402
1	1	0.20098	0.79902
-1	-1	0.80238	0.19762
1	1	0.21960	0.78040
1	1	0.37327	0.62673
1	1	0.46583	0.53417
-1	-1	0.80034	0.19966
1	1	0.24859	0.75141
1	1	0.24689	0.75311
-1	-1	0.78981	0.21019
1	1	0.27281	0.72719
-1	-1	0.55989	0.44011
1	1	0.19881	0.80119
-1	1	0.46974	0.53026
1	-1	0.68052	0.31948
-1	-1	0.65395	0.34605
-1	-1	0.71242	0.28758
1	1	0.36164	0.63836
1	1	0.40962	0.59038
-1	-1	0.60020	0.39980
1	-1	0.62094	0.37906
1	1	0.24069	0.75931
-1	-1	0.56894	0.43106
-1	-1	0.78700	0.21300
-1	-1	0.62516	0.37484
1	1	0.12378	0.87622
1	1	0.37363	0.62637
-1	-1	0.65107	0.34893
-1	-1	0.76026	0.23974
1	1	0.43014	0.56986
1	1	0.23776	0.76224
-1	-1	0.73790	0.26210
1	1	0.48653	0.51347
1	1	0.33925	0.66075
-1	-1	0.64091	0.35909
-1	-1	0.50489	0.49511
1	1	0.42214	0.57786
1	-1	0.53896	0.46104
1	1	0.17098	0.82902
1	-1	0.55759	0.44241
-1	-1	0.59610	0.40390
-1	-1	0.59360	0.40640
-1	1	0.49741	0.50259
1	1	0.25408	0.74592
-1	-1	0.54288	0.45712
1	1	0.17465	0.82535
1	1	0.33490	0.66510
1	1	0.20234	0.79766
1	1	0.22946	0.77054
-1	1	0.45448	0.54552
-1	-1	0.78144	0.21856
-1	1	0.37115	0.62885
-1	-1	0.51077	0.48923
-1	-1	0.61383	0.38617
-1	-1	0.74342	0.25658
1	1	0.37631	0.62369
-1	-1	0.71702	0.28298
-1	-1	0.52860	0.47140
-1	-1	0.57850	0.42150
1	1	0.44873	0.55127
-1	-1	0.59150	0.40850
1	-1	0.59215	0.40785
-1	-1	0.69275	0.30725
-1	-1	0.67028	0.32972
1	1	0.27811	0.72189
1	-1	0.72068	0.27932
-1	-1	0.66761	0.33239
1	1	0.49054	0.50946
-1	-1	0.50107	0.49893
-1	-1	0.76435	0.23565
-1	-1	0.83184	0.16816
1	1	0.48934	0.51066
-1	-1	0.79032	0.20968
1	1	0.10664	0.89336
1	-1	0.56521	0.43479
1	1	0.49429	0.50571
-1	-1	0.56962	0.43038
-1	-1	0.65970	0.34030
1	-1	0.58918	0.41082
1	1	0.35965	0.64035
-1	-1	0.71064	0.28936
-1	-1	0.75399	0.24601
-1	1	0.42136	0.57864
-1	-1	0.68079	0.31921
1	1	0.38397	0.61603
-1	-1	0.64246	0.35754
1	1	0.22440	0.77560
-1	1	0.35424	0.64576
1	1	0.49795	0.50205
1	1	0.34230	0.65770
1	1	0.17534	0.82466
-1	-1	0.86957	0.13043
-1	-1	0.72289	0.27711
-1	-1	0.75524	0.24476
1	1	0.20978	0.79022
-1	-1	0.56514	0.43486
-1	-1	0.75427	0.24573
1	1	0.43447	0.56553
-1	-1	0.67822	0.32178
-1	-1	0.88631	0.11369
-1	-1	0.79144	0.20856
-1	-1	0.80260	0.19740
1	1	0.31314	0.68686
-1	-1	0.54486	0.45514
1	1	0.31474	0.68526
1	1	0.20084	0.79916
1	1	0.33324	0.66676
1	1	0.43108	0.56892
1	1	0.32930	0.67070
1	1	0.44548	0.55452
1	1	0.15937	0.84063
-1	-1	0.66956	0.33044
-1	-1	0.76407	0.23593
1	1	0.15633	0.84367
-1	-1	0.66679	0.33321
1	1	0.30816	0.69184
1	1	0.31325	0.68675
1	1	0.41685	0.58315
1	1	0.24101	0.75899
-1	-1	0.54710	0.45290
1	1	0.35608	0.64392
1	1	0.46443	0.53557
1	1	0.17331	0.82669
-1	-1	0.79069	0.20931
1	-1	0.50937	0.49063
1	1	0.19929	0.80071
1	1	0.15473	0.84527
1	1	0.48735	0.51265
1	1	0.23091	0.76909
1	1	0.36052	0.63948
-1	-1	0.70816	0.29184
-1	-1	0.56074	0.43926
1	1	0.30894	0.69106
-1	-1	0.51728	0.48272
-1	-1	0.63791	0.36209
-1	-1	0.80823	0.19177
1	1	0.47700	0.52300
-1	-1	0.55992	0.44008
-1	-1	0.60508	0.39492
1	1	0.36939	0.63061
1	1	0.33081	0.66919
1	1	0.08708	0.91292
1	1	0.12983	0.87017
1	1	0.27600	0.72400
1	1	0.09385	0.90615
-1	-1	0.56713	0.43287
-1	-1	0.70151	0.29849
-1	-1	0.63974	0.36026
1	-1	0.51386	0.48614
1	1	0.20817	0.79183
-1	-1	0.67286	0.32714
1	-1	0.50644	0.49356
1	-1	0.54909	0.45091
1	1	0.32057	0.67943
1	1	0.44930	0.55070
-1	-1	0.77612	0.22388
1	1	0.20814	0.79186
1	1	0.46569	0.53431
1	1	0.18136	0.81864
1	1	0.34776	0.65224
-1	-1	0.71930	0.28070
-1	-1	0.61100	0.38900
-1	-1	0.65255	0.34745
-1	-1	0.75702	0.24298
1	1	0.27864	0.72136
1	1	0.28755	0.71245
1	1	0.23753	0.76247
-1	-1	0.62914	0.37086
-1	-1	0.54033	0.45967
-1	-1	0.64805	0.35195
1	1	0.28522	0.71478
1	1	0.32392	0.67608
-1	-1	0.63713	0.36287
-1	-1	0.76506	0.23494
-1	-1	0.83727	0.16273
-1	1	0.34297	0.65703
-1	-1	0.64118	0.35882
-1	-1	0.53951	0.46049
-1	-1	0.85069	0.14931
-1	-1	0.66374	0.33626
-1	-1	0.95030	0.04970
1	1	0.12766	0.87234
-1	-1	0.69785	0.30215
-1	-1	0.70796	0.29204
1	1	0.18616	0.81384
-1	1	0.48284	0.51716
1	1	0.27500	0.72500
1	1	0.24993	0.75007
-1	-1	0.72480	0.27520
-1	-1	0.77994	0.22006
1	1	0.13970	0.86030
1	1	0.41562	0.58438
-1	-1	0.71205	0.28795
-1	-1	0.80674	0.19326
-1	1	0.46428	0.53572
1	1	0.47955	0.52045
-1	-1	0.70620	0.29380
-1	-1	0.56332	0.43668
-1	-1	0.77966	0.22034
1	1	0.36070	0.63930
1	1	0.09971	0.90029
-1	-1	0.69011	0.30989
1	1	0.27525	0.72475
1	1	0.33071	0.66929
-1	-1	0.53600	0.46400
1	1	0.21029	0.78971
1	1	0.35158	0.64842
1	1	0.20957	0.79043
1	1	0.49720	0.50280
-1	-1	0.79347	0.20653
-1	1	0.47994	0.52006
1	1	0.28004	0.71996
1	-1	0.58155	0.41845
-1	-1	0.65282	0.34718
-1	-1	0.67083	0.32917
-1	-1	0.66079	0.33921
-1	-1	0.59929	0.40071
-1	-1	0.83099	0.16901
-1	-1	0.87347	0.12653
-1	-1	0.84612	0.15388
-1	-1	0.67581	0.32419
1	1	0.28344	0.71656
1	1	0.31678	0.68322
-1	-1	0.54828	0.45172
1	1	0.42512	0.57488
-1	-1	0.71097	0.28903
-1	-1	0.68108	0.31892
1	1	0.44082	0.55918
1	1	0.36761	0.63239
1	1	0.24732	0.75268
-1	-1	0.94562	0.05438
-1	-1	0.63079	0.36921
-1	-1	0.71132	0.28868
-1	-1	0.63015	0.36985
1	-1	0.61238	0.38762
1	1	0.31282	0.68718
-1	-1	0.69192	0.30808
-1	-1	0.63966	0.36034
-1	-1	0.59004	0.40996
1	1	0.44444	0.55556
1	1	0.39694	0.60306
1	-1	0.70176	0.29824
1	-1	0.55336	0.44664
1	1	0.33708	0.66292
-1	-1	0.62780	0.37220
1	1	0.27500	0.72500
-1	-1	0.86795	0.13205
1	1	0.24971	0.75029
-1	-1	0.74258	0.25742
-1	-1	0.50371	0.49629
-1	1	0.45722	0.54278
1	1	0.12839	0.87161
1	1	0.16470	0.83530
1	1	0.24813	0.75187
-1	-1	0.78672	0.21328
-1	-1	0.96901	0.03099
-1	-1	0.50829	0.49171
1	1	0.16312	0.83688
-1	-1	0.58689	0.41311
-1	-1	0.64138	0.35862
-1	1	0.44229	0.55771
1	1	0.26139	0.73861
1	1	0.37958	0.62042
1	1	0.30186	0.69814
-1	-1	0.79998	0.20002
1	1	0.31357	0.68643
1	1	0.13093	0.86907
1	1	0.37832	0.62168
1	1	0.46416	0.53584
-1	1	0.45919	0.54081
1	1	0.40731	0.59269
-1	-1	0.76051	0.23949
-1	-1	0.70027	0.29973
1	1	0.44767	0.55233
-1	-1	0.63653	0.36347
-1	-1	0.58883	0.41117
1	1	0.18693	0.81307
1	1	0.34684	0.65316
1	1	0.48168	0.51832
1	1	0.46387	0.53613
-1	-1	0.66837	0.33163
-1	1	0.48965	0.51035
-1	-1	0.64040	0.35960
-1	-1	0.68312	0.31688
1	1	0.36057	0.63943
-1	-1	0.73745	0.26255
1	1	0.31645	0.68355
-1	-1	0.74797	0.25203
1	1	0.19614	0.80386
1	1	0.30343	0.69657
1	1	0.21648	0.78352
-1	-1	0.51081	0.48919
-1	-1	0.69927	0.30073
1	1	0.27891	0.72109
1	-1	0.59564	0.40436
1	1	0.26471	0.73529
-1	-1	0.73732	0.26268
1	1	0.42378	0.57622
1	1	0.39361	0.60639
-1	-1	0.71893	0.28107
1	1	0.33545	0.66455
1	1	0.17529	0.82471
-1	-1	0.69418	0.30582
-1	-1	0.86666	0.13334
1	1	0.30404	0.69596
1	1	0.18546	0.81454
1	1	0.08574	0.91426
1	1	0.45420	0.54580
-1	-1	0.85887	0.14113
1	1	0.20717	0.79283
-1	-1	0.75991	0.24009
1	1	0.33261	0.66739
-1	-1	0.62307	0.37693
1	-1	0.67634	0.32366
-1	-1	0.76675	0.23325
1	1	0.27137	0.72863
1	1	0.39334	0.60666
1	-1	0.61713	0.38287
1	1	0.13836	0.86164
-1	-1	0.77042	0.22958
-1	-1	0.59117	0.40883
1	1	0.45678	0.54322
1	1	0.47365	0.52635
1	1	0.19911	0.80089
-1	-1	0.81583	0.18417
-1	1	0.21208	0.78792
1	-1	0.51124	0.48876
-1	1	0.45296	0.54704
1	1	0.27926	0.72074
1	1	0.41199	0.58801
-1	-1	0.64425	0.35575
-1	-1	0.69478	0.30522
1	1	0.23225	0.76775
-1	-1	0.54337	0.45663
1	-1	0.53376	0.46624
1	1	0.35327	0.64673
-1	-1	0.59585	0.40415
1	1	0.40180	0.59820
-1	-1	0.81684	0.18316
-1	-1	0.63108	0.36892
1	1	0.29563	0.70437
1	1	0.40443	0.59557
1	1	0.41191	0.58809
1	1	0.25196	0.74804
1	-1	0.54333	0.45667
-1	-1	0.76777	0.23223
1	1	0.44803	0.55197
-1	-1	0.73869	0.26131
-1	1	0.48499	0.51501
-1	-1	0.71543	0.28457
-1	-1	0.76707	0.23293
1	1	0.06671	0.93329
-1	-1	0.61251	0.38749
-1	-1	0.74072	0.25928
1	1	0.43277	0.56723
1	-1	0.55398	0.44602
1	-1	0.55158	0.44842
1	1	0.40890	0.59110
-1	-1	0.56937	0.43063
-1	-1	0.66321	0.33679
1	1	0.26414	0.73586
1	-1	0.53444	0.46556
1	-1	0.62099	0.37901
-1	1	0.36127	0.63873
-1	-1	0.65742	0.34258
1	1	0.43227	0.56773
-1	-1	0.89939	0.10061
-1	-1	0.73601	0.26399
-1	-1	0.71606	0.28394
1	1	0.22658	0.77342
1	1	0.43818	0.56182
1	-1	0.50512	0.49488
-1	-1	0.95559	0.04441
1	1	0.33848	0.66152
-1	-1	0.64896	0.35104
1	1	0.39709	0.60291
-1	1	0.47922	0.52078
1	1	0.31103	0.68897
1	-1	0.51162	0.48838
-1	-1	0.55029	0.44971
-1	-1	0.50372	0.49628
1	1	0.17818	0.82182
-1	-1	0.65858	0.34142
-1	-1	0.67186	0.32814
-1	-1	0.74050	0.25950
-1	-1	0.78918	0.21082
1	1	0.24512	0.75488
-1	-1	0.54601	0.45399
-1	-1	0.56675	0.43325
1	1	0.29979	0.70021
1	1	0.41988	0.58012
-1	-1	0.61671	0.38329
1	1	0.14332	0.85668
-1	-1	0.68773	0.31227
1	1	0.15727	0.84273
-1	-1	0.75519	0.24481
-1	-1	0.65024	0.34976
1	1	0.42047	0.57953
-1	-1	0.63123	0.36877
1	1	0.25303	0.74697
-1	-1	0.54635	0.45365
-1	-1	0.71708	0.28292
1	1	0.28284	0.71716
-1	1	0.46020	0.53980
-1	-1	0.77813	0.22187
-1	-1	0.50623	0.49377
1	-1	0.66611	0.33389
-1	-1	0.66019	0.33981
1	1	0.36540	0.63460
1	1	0.16829	0.83171
-1	-1	0.59980	0.40020
-1	-1	0.76050	0.23950
1	1	0.23814	0.76186
-1	-1	0.81172	0.18828
1	1	0.34190	0.65810
-1	-1	0.87787	0.12213
1	1	0.41914	0.58086
-1	-1	0.86006	0.13994
1	1	0.44256	0.55744
-1	-1	0.82419	0.17581
-1	-1	0.63605	0.36395
1	1	0.30949	0.69051
1	1	0.19325	0.80675
-1	-1	0.59092	0.40908
-1	-1	0.70244	0.29756
-1	-1	0.75337	0.24663
-1	-1	0.59269	0.40731
-1	-1	0.72789	0.27211
1	1	0.19861	0.80139
-1	-1	0.59791	0.40209
1	1	0.37580	0.62420
-1	-1	0.68061	0.31939
-1	-1	0.66960	0.33040
1	1	0.45360	0.54640
-1	-1	0.82249	0.17751
1	1	0.17803	0.82197
-1	-1	0.57411	0.42589
1	1	0.16899	0.83101
-1	-1	0.50352	0.49648
1	1	0.44576	0.55424
1	1	0.27881	0.72119
1	1	0.36917	0.63083
-1	-1	0.55810	0.44190
1	1	0.25760	0.74240
1	1	0.16354	0.83646
1	1	0.32993	0.67007
-1	-1	0.86684	0.13316
-1	-1	0.70129	0.29871
-1	1	0.47030	0.52970
-1	-1	0.74084	0.25916
1	1	0.38554	0.61446
1	1	0.46745	0.53255
1	1	0.42846	0.57154
1	-1	0.54435	0.45565
-1	-1	0.61995	0.38005
1	1	0.47592	0.52408
1	1	0.11982	0.88018
1	1	0.47256	0.52744
1	1	0.35811	0.64189
-1	-1	0.90233	0.09767
1	1	0.21513	0.78487
-1	1	0.32781	0.67219
1	1	0.38164	0.61836
1	1	0.19811	0.80189
-1	-1	0.70213	0.29787
1	1	0.36872	0.63128
1	1	0.25331	0.74669
1	-1	0.54507	0.45493
1	1	0.47540	0.52460
-1	-1	0.68896	0.31104
-1	-1	0.63404	0.36596
-1	-1	0.74690	0.25310
1	1	0.24677	0.75323
-1	1	0.41758	0.58242
1	1	0.39807	0.60193
1	-1	0.56783	0.43217
1	1	0.39084	0.60916
-1	-1	0.74849	0.25151
1	1	0.33036	0.66964
1	1	0.43839	0.56161
1	1	0.28800	0.71200
1	-1	0.53621	0.46379
1	1	0.33094	0.66906
1	1	0.31021	0.68979
1	1	0.24013	0.75987
1	1	0.39250	0.60750
-1	-1	0.76668	0.23332
1	1	0.24083	0.75917
1	1	0.34591	0.65409
1	1	0.38564	0.61436
-1	-1	0.52772	0.47228
1	-1	0.52768	0.47232
-1	1	0.49112	0.50888
-1	1	0.31972	0.68028
-1	-1	0.55458	0.44542
-1	-1	0.61110	0.38890
1	1	0.40041	0.59959
-1	-1	0.64925	0.35075
1	-1	0.72289	0.27711
1	1	0.14567	0.85433
1	-1	0.57832	0.42168
1	1	0.15707	0.84293
1	1	0.20176	0.79824
1	-1	0.52091	0.47909
1	1	0.37238	0.62762
1	-1	0.55083	0.44917
1	-1	0.58366	0.41634
1	1	0.26880	0.73120
-1	1	0.46098	0.53902
-1	-1	0.55580	0.44420
1	1	0.25318	0.74682
1	-1	0.50447	0.49553
-1	-1	0.56304	0.43696
-1	-1	0.79622	0.20378
-1	-1	0.59147	0.40853
-1	-1	0.63020	0.36980
-1	-1	0.61868	0.38132
1	-1	0.64344	0.35656
1	1	0.28345	0.71655
-1	-1	0.71969	0.28031
1	1	0.35321	0.64679
1	1	0.49437	0.50563
-1	-1	0.61205	0.38795
-1	-1	0.54256	0.45744
1	1	0.35539	0.64461
1	1	0.47246	0.52754
-1	-1	0.68156	0.31844
1	1	0.49643	0.50357
1	1	0.37346	0.62654
-1	-1	0.61923	0.38077
1	1	0.11996	0.88004
1	1	0.37148	0.62852
-1	1	0.48969	0.51031
1	1	0.40865	0.59135
-1	-1	0.82150	0.17850
1	1	0.10030	0.89970
-1	-1	0.87228	0.12772
1	1	0.42384	0.57616
1	1	0.28944	0.71056
1	-1	0.64122	0.35878
-1	-1	0.77645	0.22355
-1	-1	0.71889	0.28111
-1	-1	0.59496	0.40504
-1	1	0.40919	0.59081
1	1	0.38590	0.61410
1	1	0.25589	0.74411
-1	-1	0.55137	0.44863
-1	-1	0.63329	0.36671
-1	-1	0.83465	0.16535
-1	-1	0.77388	0.22612
1	-1	0.51416	0.48584
1	1	0.43716	0.56284
1	1	0.18597	0.81403
1	1	0.20323	0.79677
-1	1	0.38166	0.61834
1	1	0.49897	0.50103
-1	-1	0.80747	0.19253
-1	-1	0.76115	0.23885
-1	1	0.47598	0.52402
-1	-1	0.62143	0.37857
-1	1	0.49893	0.50107
1	1	0.28793	0.71207
-1	-1	0.53763	0.46237
1	1	0.37212	0.62788
1	1	0.38150	0.61850
-1	-1	0.54105	0.45895
1	1	0.47436	0.52564
-1	-1	0.69180	0.30820
1	1	0.37271	0.62729
-1	-1	0.72028	0.27972
-1	-1	0.64478	0.35522
1	1	0.16006	0.83994
-1	-1	0.51639	0.48361
1	1	0.46258	0.53742
-1	-1	0.77666	0.22334
-1	-1	0.89963	0.10037
1	1	0.44055	0.55945
-1	-1	0.75221	0.24779
1	1	0.35824	0.64176
1	1	0.13322	0.86678
-1	-1	0.75416	0.24584
1	1	0.13507	0.86493
1	-1	0.54722	0.45278
-1	-1	0.67160	0.32840
-1	-1	0.78790	0.21210
1	1	0.34147	0.65853
1	1	0.48566	0.51434
1	1	0.35539	0.64461
1	1	0.35515	0.64485
1	1	0.20980	0.79020
1	1	0.29068	0.70932
1	1	0.43265	0.56735
-1	-1	0.54813	0.45187
-1	-1	0.68956	0.31044
-1	-1	0.63520	0.36480
-1	-1	0.70791	0.29209
1	1	0.44909	0.55091
1	1	0.41784	0.58216
1	1	0.43046	0.56954
1	1	0.48122	0.51878
1	1	0.18252	0.81748
-1	-1	0.71571	0.28429
-1	-1	0.70361	0.29639
-1	-1	0.62192	0.37808
-1	-1	0.53588	0.46412
-1	-1	0.63576	0.36424
1	1	0.40457	0.59543
1	1	0.35171	0.64829
-1	-1	0.80397	0.19603
-1	-1	0.58761	0.41239
-1	1	0.42157	0.57843
-1	-1	0.69694	0.30306
1	1	0.15590	0.84410
-1	-1	0.69815	0.30185
-1	-1	0.63050	0.36950
-1	-1	0.60775	0.39225
-1	-1	0.51788	0.48212
-1	-1	0.65402	0.34598
-1	-1	0.71002	0.28998
1	1	0.23202	0.76798
-1	-1	0.77396	0.22604
1	1	0.16771	0.83229
-1	-1	0.68966	0.31034
1	1	0.17215	0.82785
1	1	0.14558	0.85442
1	1	0.25621	0.74379
-1	-1	0.70501	0.29499
-1	-1	0.60297	0.39703
1	-1	0.57895	0.42105
1	1	0.21871	0.78129
-1	-1	0.69500	0.30500
1	-1	0.53699	0.46301
-1	-1	0.65839	0.34161
1	1	0.44895	0.55105
1	-1	0.74230	0.25770
-1	-1	0.72489	0.27511
1	1	0.38860	0.61140
-1	-1	0.66659	0.33341
1	-1	0.50931	0.49069
1	1	0.28724	0.71276
-1	-1	0.70232	0.29768
1	-1	0.51259	0.48741
1	1	0.39766	0.60234
-1	-1	0.61490	0.38510
1	1	0.21970	0.78030
